,Camera ID,Date,Time,Path to saved image,Object
0,Cam 0,12.12.2023,19:22:10,,Грузовик
1,Cam 0,12.12.2023,19:42:10,,Грузовик
2,Cam 0,12.12.2023,19:42:10,,Человек
3,Cam 0,12.12.2023,19:42:10,,Кран
4,Cam 0,12.12.2023,19:42:10,,Профлист
5,Cam 0,12.12.2023,20:02:10,,Грузовик
6,Cam 0,12.12.2023,20:02:10,,Человек
7,Cam 0,12.12.2023,20:02:10,,Кран
8,Cam 0,12.12.2023,20:02:10,,Профлист
9,Cam 0,12.12.2023,20:22:10,,Кран
10,Cam 0,12.12.2023,20:22:10,,Профлист
11,Cam 0,12.12.2023,20:42:10,,Грузовик
12,Cam 0,12.12.2023,20:42:10,,Человек
13,Cam 0,12.12.2023,20:42:10,,Кран
14,Cam 0,12.12.2023,20:42:10,,Профлист
15,Cam 0,12.12.2023,21:02:10,,Грузовик
16,Cam 0,12.12.2023,21:02:10,,Человек
17,Cam 0,12.12.2023,21:02:10,,Кран
18,Cam 0,12.12.2023,21:02:10,,Профлист
19,Cam 0,12.12.2023,21:22:10,,Грузовик
20,Cam 0,12.12.2023,21:22:10,,Человек
21,Cam 0,12.12.2023,21:22:10,,Кран
22,Cam 0,12.12.2023,21:22:10,,Профлист
